product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: Yellow • Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: Yellow • Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0968,Modian Luxury Link Chain Necklace 925 Sterling,,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0980_modian-luxury-link-chain-necklace-925-sterling-sil.webp,"₦50,951","₦66,900","₦15,949",matched
PROD-0969,Modian Luxury Moon Silver Jewelry,Gem Color: Orange,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0981_modian-luxury-moon-silver-jewelry-for-women-classi.webp,"₦36,135","₦48,900","₦12,765",matched_variant
PROD-0969,Modian Luxury Moon Silver Jewelry,Gem Color: White,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0981_modian-luxury-moon-silver-jewelry-for-women-classi.webp,"₦36,135","₦48,900","₦12,765",matched_variant
PROD-0970,Modian Luxury Sparkling Black Snake Bracelet 925,Gem Color: Rhb967B,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0982_modian-luxury-sparkling-black-snake-bracelet-925-s.webp,"₦63,056","₦81,500","₦18,444",matched_variant
PROD-0970,Modian Luxury Sparkling Black Snake Bracelet 925,Gem Color: Rhb967S,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0982_modian-luxury-sparkling-black-snake-bracelet-925-s.webp,"₦63,056","₦81,500","₦18,444",matched_variant
PROD-0971,Modian Luxury Sparkling Simulated Diamond Clear,Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0983_modian-luxury-sparkling-simulated-diamond-clear-cz.webp,"₦48,999","₦64,900","₦15,901",matched_variant
PROD-0971,Modian Luxury Sparkling Simulated Diamond Clear,Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0983_modian-luxury-sparkling-simulated-diamond-clear-cz.webp,"₦48,999","₦64,900","₦15,901",matched_variant
PROD-0971,Modian Luxury Sparkling Simulated Diamond Clear,Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0983_modian-luxury-sparkling-simulated-diamond-clear-cz.webp,"₦48,999","₦64,900","₦15,901",matched_variant
PROD-0971,Modian Luxury Sparkling Simulated Diamond Clear,Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0983_modian-luxury-sparkling-simulated-diamond-clear-cz.webp,"₦48,999","₦64,900","₦15,901",matched_variant
